=======================================================
DeepXplore Differential Testing — Summary
=======================================================

[Configuration]
  Model A checkpoint : models/model_a_best.pth
  Model B checkpoint : models/model_b_best.pth
  Seeds tested       : 300
  Perturbation steps : 150
  Step size          : 0.01
  Epsilon (L-inf)    : 0.2
  Lambda coverage    : 0.5

[Results]
  Disagreements found: 300
  Disagreement rate  : 100.00%
  Neuron coverage A  : 31.93%
  Neuron coverage B  : 52.63%

[Disagreement Details]
  #01  true=deer          model_a=deer          model_b=frog        
  #02  true=frog          model_a=frog          model_b=cat         
  #03  true=airplane      model_a=airplane      model_b=bird        
  #04  true=truck         model_a=automobile    model_b=truck       
  #05  true=truck         model_a=automobile    model_b=truck       
  #06  true=cat           model_a=cat           model_b=frog        
  #07  true=airplane      model_a=ship          model_b=airplane    
  #08  true=dog           model_a=dog           model_b=cat         
  #09  true=horse         model_a=horse         model_b=dog         
  #10  true=truck         model_a=frog          model_b=truck       
  #11  true=bird          model_a=bird          model_b=frog        
  #12  true=frog          model_a=frog          model_b=bird        
  #13  true=deer          model_a=deer          model_b=dog         
  #14  true=frog          model_a=frog          model_b=bird        
  #15  true=frog          model_a=frog          model_b=deer        
  #16  true=truck         model_a=truck         model_b=airplane    
  #17  true=deer          model_a=bird          model_b=deer        
  #18  true=bird          model_a=dog           model_b=bird        
  #19  true=truck         model_a=automobile    model_b=truck       
  #20  true=bird          model_a=deer          model_b=bird        
  #21  true=airplane      model_a=cat           model_b=airplane    
  #22  true=ship          model_a=ship          model_b=airplane    
  #23  true=horse         model_a=horse         model_b=dog         
  #24  true=automobile    model_a=truck         model_b=automobile  
  #25  true=cat           model_a=dog           model_b=cat         
  #26  true=truck         model_a=truck         model_b=ship        
  #27  true=automobile    model_a=truck         model_b=automobile  
  #28  true=ship          model_a=airplane      model_b=ship        
  #29  true=deer          model_a=deer          model_b=dog         
  #30  true=truck         model_a=truck         model_b=automobile  
  #31  true=airplane      model_a=ship          model_b=airplane    
  #32  true=deer          model_a=deer          model_b=horse       
  #33  true=horse         model_a=deer          model_b=horse       
  #34  true=frog          model_a=frog          model_b=horse       
  #35  true=cat           model_a=deer          model_b=cat         
  #36  true=frog          model_a=frog          model_b=cat         
  #37  true=deer          model_a=deer          model_b=bird        
  #38  true=ship          model_a=ship          model_b=airplane    
  #39  true=frog          model_a=frog          model_b=bird        
  #40  true=deer          model_a=deer          model_b=horse       
  #41  true=deer          model_a=deer          model_b=dog         
